Game,Relation,They,Console,Year,Sales
super mario bros. 3,BOSS_IN,boomerang bro,Game & Watch,1990,22.48
super mario bros. 3,BOSS_IN,boomerang bro,NES,1988,22.48
mario kart 8,BOSS_IN,boomerang bro,WiiU,2014,14.18
mario kart 8,BOSS_IN,boomerang bro,WiiU,2015,14.18
new super mario bros.,BOSS_IN,boomerang bro,DS,2006,29.8
mario kart tour,BOSS_IN,boomerang bro,Mobile,2019,0.0
mario & luigi: dream team,BOSS_IN,boomerang bro,3DS,2013,2.08
new super mario bros. wii,BOSS_IN,boomerang bro,Wii,2009,28.32
mario & luigi: paper jam,BOSS_IN,boomerang bro,3DS,2015,0.76
mario & luigi: paper jam,BOSS_IN,boomerang bro,3DS,2016,0.76
super mario galaxy 2,BOSS_IN,boomerang bro,Wii,2010,7.51
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,boomerang bro,3DS,2018,0.0
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,boomerang bro,Switch,2018,0.0
super mario 3d land,BOSS_IN,boomerang bro,3DS,2011,10.81
new super mario bros. 2,BOSS_IN,boomerang bro,3DS,2012,9.9
super mario bros. 3,BOSS_IN,bowser statue,Nintendo,1988,22.48
super mario bros. 3,BOSS_IN,bowser statue,Game & Watch,1990,22.48
super mario bros. 3,BOSS_IN,bowser statue,NES,1988,22.48
mario kart 64,BOSS_IN,bowser statue,N64,1996,9.87
mario & luigi: bowser's inside story,BOSS_IN,bowser statue,DS,2009,3.77
super mario world,BOSS_IN,bowser statue,Nintendo,1990,26.07
super mario world,BOSS_IN,bowser statue,Game & Watch,1991,26.07
super mario world,BOSS_IN,bowser statue,Arcade,1993,26.07
super mario world,BOSS_IN,bowser statue,SNES,1990,26.07
mario kart: double dash!!,BOSS_IN,bowser statue,GC,2003,13.9
mario & luigi: dream team,BOSS_IN,bowser statue,3DS,2013,2.08
new super mario bros.,BOSS_IN,bowser statue,DS,2006,29.8
mario kart wii,BOSS_IN,bowser statue,Wii,2008,35.52
super mario galaxy,BOSS_IN,bowser statue,Wii,2007,11.35
super mario galaxy 2,BOSS_IN,bowser statue,Wii,2010,7.51
new super mario bros. 2,BOSS_IN,bowser statue,3DS,2012,9.9
super mario odyssey,BOSS_IN,bowser statue,Switch,2017,0.0
